Restaurant Name,,City,Address,Locality,,,,Cuisines,,,Has Table booking,Has Online delivery,,,,Aggregate rating,,Rating text
Barista,,Noida,"Botanical Garden Metro Station, Ground Floor, Sector 38, Noida",Sector 38,,,,Cafe,,,No,No,,,,3,,Average
Burger King,,Noida,"Shop  B, Ground Floor, Botanical Garden Metro Station, Sector 38, Noida",Sector 38,,,,"Burger, Fast Food",,,No,Yes,,,,3.2,,Average
Keventers,,Noida,"SH-161,åÊGardenåÊGalleria, Sector 38, Noida",Sector 38,,,,Beverages,,,No,No,,,,3.1,,Average
Kenny Rogers Roasters,,Noida,"Ground Floor, FB 104, Garden Galleria Mall, Sector 38, Noida",Sector 38,,,,American,,,Yes,No,,,,3.7,,Good
McDonald's,,Noida,"Intersection of Worlds of Wonder and Great India Place Mall, Sector 38, Noida",Sector 38,,,,"Fast Food, Burger",,,No,No,,,,3.5,,Good
Baskin Robbins,,Noida,"Attrium Ground Floor, Garden Galleria Mall, Sector 38, Noida",Sector 38,,,,Ice Cream,,,No,Yes,,,,0,,Not rated
Cafe Buddy's,,Noida,"Botinical Garden Metro Station, Sector 38, Noida",Sector 38,,,,Fast Food,,,No,No,,,,0,,Not rated
Fusionn Rolls,,Noida,"Global Metro Complex, Botanical Garden Metro Station, Sector 38, Noida",Sector 38,,,,Chinese,,,No,No,,,,0,,Not rated
Kwality Walls - Happiness Station,,Noida,"Third Floor, Food Court, Sector 38, Noida",Sector 38,,,,Ice Cream,,,No,No,,,,0,,Not rated
Shakti Food & Restaurant,,Noida,"Babu Ram Market, Main Dadri Road, Opposite Great India Place Mall, Sector 38, Noida",Sector 38,,,,North Indian,,,No,No,,,,0,,Not rated
Domino's Pizza,,Noida,"Ground Floor, Botanical Garden, Metro Station, Sector 38, Noida",Sector 38,,,,"Pizza, Fast Food",,,No,No,,,,2.4,,Poor
Mr. Brown,,Noida,"Botanical Garden Metro Station, Sector 38, Noida",Sector 38,,,,"Bakery, Desserts, Fast Food",,,No,Yes,,,,4,,Very Good
Chef's Bar-Be-Que,,Noida,"C 102 A, 13/14, Near Sector 39, Noida",Sector 39,,,,"North Indian, Mughlai, Chinese",,,No,Yes,,,,3.4,,Average
Sen's Sational Xpress Kitchen,,Noida,"Shop 2, C Block Market, Sector 39, Noida",Sector 39,,,,"North Indian, Mughlai",,,No,Yes,,,,3,,Average
Shanghai Dreams,,Noida,"C Block Market, Sector 39, Noida",Sector 39,,,,Chinese,,,No,No,,,,3,,Average
InnerChef,,Noida,"B-46, Sector 4, Noida",Sector 4,,,,"North Indian, South Indian, Italian, Continental, Mediterranean, Lebanese, Desserts",,,No,Yes,,,,3.3,,Average
Antaryami Paratha Corner,,Noida,"A-15, Sector 4, Noida",Sector 4,,,,North Indian,,,No,No,,,,0,,Not rated
F-all (Food for All),,Noida,"Sector 40, Noida",Sector 40,,,,"North Indian, Chinese, Fast Food",,,No,No,,,,3.4,,Average
Green Restaurant,,Noida,"Sector 40, Noida",Sector 40,,,,"Chinese, North Indian",,,No,No,,,,0,,Not rated
2 Bros Kitchen,,Noida,"Plot 14, C-98, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese, Fast Food",,,No,Yes,,,,3.2,,Average
Baskin Robbins,,Noida,"Near Theos/ HP Petrol Pump, Main Dadri Road, Sector 41, Noida",Sector 41,,,,Ice Cream,,,No,Yes,,,,3.3,,Average
Big Bone - The Meat Shop,,Noida,"Shop 13, C Block Market, Sector 41, Noida",Sector 41,,,,"Raw Meats, Fast Food",,,No,No,,,,3.1,,Average
Biryani House,,Noida,"C block market, sector 41, Noida",Sector 41,,,,"Biryani, North Indian",,,No,Yes,,,,3.1,,Average
China Hot,,Noida,"C Block Market, Sector 41, Noida",Sector 41,,,,Chinese,,,No,No,,,,2.9,,Average
City Hut,,Noida,"Near HP Petrol Pump, Main Dadri Road, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese",,,No,No,,,,2.5,,Average
Defence Bakery,,Noida,"30, C Block Market, Sector 41, Noida",Sector 41,,,,"Bakery, Fast Food",,,No,No,,,,3.4,,Average
Dhabha 27,,Noida,"Sector 41, Noida",Sector 41,,,,"Mughlai, Chinese",,,No,Yes,,,,3.2,,Average
Faasos,,Noida,"C-11/98, Sector 41, Noida",Sector 41,,,,"North Indian, Fast Food",,,No,Yes,,,,3.1,,Average
Green Chick Chop,,Noida,"C-98/18, Sector 41, Noida",Sector 41,,,,"Raw Meats, North Indian, Fast Food",,,No,No,,,,2.7,,Average
JSB Evergreen Cool Point,,Noida,"25, C Block Market, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese, Fast Food, Mithai",,,No,No,,,,2.9,,Average
JSB Evergreen Snack & Sweets,,Noida,"C Block Market, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese, Fast Food, Street Food",,,No,No,,,,3.2,,Average
Keventers,,Noida,"Glued Reloaded, Dynamic House, Opposite Petrol Bunk, Dadri Main Road, Sector 41, Noida",Sector 41,,,,Beverages,,,No,No,,,,2.9,,Average
More Than Cafe,,Noida,"Shop 12, C Block Market, Sector 41, Noida",Sector 41,,,,"Cafe, Continental, Fast Food",,,No,No,,,,3.3,,Average
Mutfi,,Noida,"Sector 41, Noida",Sector 41,,,,"North Indian, Seafood, Bengali",,,No,Yes,,,,3.3,,Average
Nawabi Mughlai Zaika,,Noida,"Sector 41, Noida",Sector 41,,,,"North Indian, Mughlai",,,No,Yes,,,,3.2,,Average
Ovenstory Pizza,,Noida,"Sector 41, Noida",Sector 41,,,,"Pizza, Fast Food",,,No,Yes,,,,3.3,,Average
ProFit Kitchen,,Noida,"Opposite Shani Mandir, Sector 41, Noida",Sector 41,,,,Healthy Food,,,No,Yes,,,,3.4,,Average
Public Cafe,,Noida,"Near HP Petrol Pump, Main Dadri Road, Sector 41, Noida",Sector 41,,,,"Fast Food, Beverages",,,No,Yes,,,,2.5,,Average
The Chickmunks Express,,Noida,"Sector 41, Noida",Sector 41,,,,"Fast Food, Italian, North Indian, Chinese",,,No,Yes,,,,3,,Average
Time to Tea,,Noida,"C-98/27, Jain Road, Sector 41, Noida",Sector 41,,,,"Fast Food, Beverages",,,No,No,,,,3.4,,Average
Twenty Four Seven,,Noida,"RK Service Station, Sector 41, Noida",Sector 41,,,,"Fast Food, North Indian",,,No,No,,,,3,,Average
Virundu,,Noida,"H Block, Sector 41, Noida",Sector 41,,,,South Indian,,,No,Yes,,,,2.8,,Average
Be Bhukkad,,Noida,"Aghapur, Sector 41, Noida",Sector 41,,,,"North Indian, Mughlai",,,No,Yes,,,,3.6,,Good
Behrouz Biryani,,Noida,"Sector 41, Noida",Sector 41,,,,Biryani,,,No,Yes,,,,3.5,,Good
Bistro 365,,Noida,"N.P Plaza, Main Dadri Road, Agghapur, Sector 41, Noida",Sector 41,,,,"Cafe, North Indian, Chinese",,,No,Yes,,,,3.7,,Good
Engineers Da Dhaba,,Noida,"Shop 2, Street 1, Aghapur, Sector 41, Noida",Sector 41,,,,North Indian,,,No,Yes,,,,3.6,,Good
Hungry Minister,,Noida,"Shop 6, Gautam Budh Nagar, Sector 41, Noida",Sector 41,,,,"Continental, Mexican, Fast Food, Chinese",,,No,Yes,,,,3.5,,Good
Kake Da Hotel,,Noida,"Shop 1-2, Gautam Budh Nagar, Sector 41, Noida",Sector 41,,,,"North Indian, Mughlai",,,No,Yes,,,,3.5,,Good
Biryani,,Noida,"Sector 41, Noida",Sector 41,,,,Biryani,,,No,No,,,,0,,Not rated
C Cube,,Noida,"1st Floor, C Block Market, Sector 41, Noida",Sector 41,,,,"American, Italian, North Indian, Chinese",,,No,No,,,,0,,Not rated
Chicago Pizza,,Noida,"Glued Reloaded, Dynamic House, Next to HP Petrol Pump, Sector 41, Noida",Sector 41,,,,Pizza,,,No,No,,,,0,,Not rated
Kettle & Kegs,,Noida,"Sector 41, Noida",Sector 41,,,,Tea,,,No,Yes,,,,0,,Not rated
Keventers,,Noida,"19, C 19/98, C Block Market, Sector 41, Noida",Sector 41,,,,Beverages,,,No,No,,,,0,,Not rated
Keventers,,Noida,"C 19/98, Block Market, Gautam Buddh Nagar, Sector 41, Noida",Sector 41,,,,Beverages,,,No,No,,,,0,,Not rated
Navab's,,Noida,"Near HP Petrol Pump, Main Dadri Road, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Nawabi Mughlai Zaika Food Van,,Noida,"Sector 41, Noida",Sector 41,,,,"North Indian, Mughlai",,,No,No,,,,0,,Not rated
NS Punjabi Swad,,Noida,"Opposite Shani Mandir, Aghapur Villlage, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Pitstop,,Noida,"Glued Reloaded, Dynamic House, Opposite Petrol Pump, Dadri Main Road, Sector 41, Noida",Sector 41,,,,"North Indian, Mughlai, Mughlai",,,No,No,,,,0,,Not rated
Royal Spice Restaurant,,Noida,"Dadri Road, Near HP Petrol Pump, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese",,,No,Yes,,,,0,,Not rated
Sethi's,,Noida,"Near HP Petrol Pump, Main Dadri Road, Sector 41, Noida",Sector 41,,,,North Indian,,,No,No,,,,0,,Not rated
Snacks Parties,,Noida,"Sector 41, Noida",Sector 41,,,,"Fast Food, Street Food",,,No,No,,,,0,,Not rated
Peshawari Delux Restaurant,,Noida,"C Block Market, Sector 41, Noida",Sector 41,,,,"North Indian, Chinese",,,No,No,,,,2.4,,Poor
WTF - World's Tastiest Food,,Noida,"Sector 41, Noida",Sector 41,,,,"North Indian, Chinese",,,No,Yes,,,,2.4,,Poor
Salato Salad Studio,,Noida,"Block C Road, Sector 41, Noida",Sector 41,,,,"Salad, Continental",,,No,Yes,,,,4.1,,Very Good
AB Fast N Food,,Noida,"2, Main Market, Opposite Easy Day Supermarket, Sector 44, Noida",Sector 44,,,,Fast Food,,,No,Yes,,,,2.7,,Average
Cafe 44,,Noida,"A15/11, 1st Floor, Sector 44, Noida",Sector 44,,,,"Continental, Chinese",,,No,No,,,,3,,Average
Cafe Onion Rings,,Noida,"Near HP Petrol Pump, Dadri Road, Sector 44, Noida",Sector 44,,,,"North Indian, Chinese, Fast Food",,,No,No,,,,2.9,,Average
Club 44,,Noida,"A Block Market, Above Andhra Bank, Sector 44, Noida",Sector 44,,,,North Indian,,,No,No,,,,3.2,,Average
Indian Curry House,,Noida,"Sector 44, Noida",Sector 44,,,,"North Indian, Chinese",,,No,Yes,,,,3.1,,Average
Krunchies,,Noida,"Shop 2, Bhanu Market, Opposite Valley Bazar, Sector 44, Noida",Sector 44,,,,Fast Food,,,No,Yes,,,,2.5,,Average
Platefull,,Noida,"A-18, A Block Commercial Market, Sector 44, Noida",Sector 44,,,,"North Indian, Chinese",,,No,Yes,,,,3.4,,Average
Sanghai Food,,Noida,"Pearl Gateway Tower, Near Gulmohar Garden, Sector 44, Noida",Sector 44,,,,Chinese,,,No,No,,,,2.9,,Average
Shadev Saini Dhaba,,Noida,"Main Dadri Road, Village Chhalera, Sector 44, Noida",Sector 44,,,,North Indian,,,No,No,,,,3,,Average
Wasim Biryani Center,,Noida,"Near Saba Apartment, Main Dadri Road, Sector 44, Noida",Sector 44,,,,North Indian,,,No,No,,,,2.8,,Average
Hungry - I,,Noida,"20, A Block Market, Near Amity School, Sector 44, Noida",Sector 44,,,,"Cafe, Italian, Chinese, Continental",,,No,Yes,,,,3.7,,Good
Smoking Tikka,,Noida,"Plot 109, Sector 44, Noida",Sector 44,,,,"North Indian, Chinese, Fast Food",,,No,Yes,,,,3.7,,Good
The Fusion Food Stand,,Noida,"Shop 6, A-15, Sector 44, Noida",Sector 44,,,,"Chinese, Thai, Fast Food",,,No,Yes,,,,3.8,,Good
44 Grills,,Noida,"Street 3, Sector 44, Noida",Sector 44,,,,"North Indian, Chinese",,,No,Yes,,,,0,,Not rated
Ammi's Kitchen,,Noida,"Sector 44, Noida",Sector 44,,,,Mughlai,,,No,No,,,,0,,Not rated
Bangali Restaurant,,Noida,"Shop 4, Opposite Value Bazaar, Sector 44, Noida",Sector 44,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,0,,Not rated
Home Cafe,,Noida,"Block A, Sector 46, Near Sector 44, Noida",Sector 44,,,,"Bakery, Fast Food",,,No,No,,,,0,,Not rated
Hot Chilli Food Plaza,,Noida,"Gali 3, Village Chhalera, Sector 44, Noida",Sector 44,,,,"North Indian, South Indian",,,No,No,,,,0,,Not rated
Kanak Kitchen,,Noida,"Near Kartik Kunj Apartment, Sector 44, Noida",Sector 44,,,,North Indian,,,No,No,,,,0,,Not rated
Speziato Foods,,Noida,"Shop 6, A Block Market, Sector 44, Noida",Sector 44,,,,"North Indian, Mughlai",,,No,No,,,,0,,Not rated
The Golden Spoon,,Noida,"Near SRS Value Bazar, Sector 44, Noida",Sector 44,,,,Chinese,,,No,No,,,,0,,Not rated
The Saffron Plant Restaurant,,Noida,"The Club, Amrapali Sapphire, Sector 45, Near Sector 44, Noida",Sector 44,,,,"Chinese, North Indian, Mughlai",,,Yes,No,,,,0,,Not rated
Zaika Tiffin Center,,Noida,"Gardenia Glory, Sector 46, Near Sector 44, Noida",Sector 44,,,,"North Indian, South Indian",,,No,No,,,,0,,Not rated
#Urban CafÌ©,,Noida,"LG-06, Amrapali Arcade 1, Amrapali Sapphire, Sector 45, Noida",Sector 45,,,,"North Indian, Chinese, Italian",,,No,Yes,,,,3.3,,Average
Baked! Cakes & Desserts,,Noida,"Amrapali Sapphire, Sector 45, Noida",Sector 45,,,,"Bakery, Desserts",,,No,No,,,,3.3,,Average
Quick Grabs,,Noida,"Shop 13, UG, Amrapali Sapphire Shopping Complex, Sector 45, Noida",Sector 45,,,,"North Indian, Chinese",,,No,Yes,,,,3.1,,Average
The Roll Van,,Noida,"Plot 1, Sector 45, Noida",Sector 45,,,,"North Indian, Mughlai",,,No,No,,,,2.9,,Average
Balaji Restaurant & Sweets,,Noida,"Shop B-6/7, Som Bazaar, Sadarpur, Near Shiv Mandir, Sector 45, Noida",Sector 45,,,,South Indian,,,No,No,,,,0,,Not rated
Baskin Robbins,,Noida,"Near Amity University, Sector 45, Noida",Sector 45,,,,Ice Cream,,,No,Yes,,,,0,,Not rated
Baskin Robbins,,Noida,"Shop 10, Amrapali Sapphire Arcade, Sector 45, Noida",Sector 45,,,,Ice Cream,,,No,No,,,,0,,Not rated
Chandu Chat Bhandar,,Noida,"Amrapali Arcade, Sector 45, Noida, Delhi NCR",Sector 45,,,,Street Food,,,No,No,,,,0,,Not rated
Foodies Park,,Noida,"Choudhary Fateh Singh Market, Opposite Amarpali Sapphire, Sector 45, Noida",Sector 45,,,,"Chinese, North Indian",,,No,No,,,,0,,Not rated
Noida Cakes Online,,Noida,"Sector 47, Noida",Sector 47,,,,Bakery,,,No,No,,,,3,,Average
The Epicureans,,Noida,"B-101, Near HDFC Bank, Sector 46, Near Sector 47, Noida",Sector 47,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,3.4,,Average
Bhojanam4u,,Noida,"A 109, Sector 47, Noida",Sector 47,,,,North Indian,,,No,No,,,,0,,Not rated
Chocadoodledoo,,Noida,"802, Tower 32, Lotus Boulevard Espacia, Opposite Pathways School, Sector 100, Near Sector 47, Noida",Sector 47,,,,Bakery,,,No,No,,,,0,,Not rated
Chocolate Therapy by Nishi,,Noida,"A-811, Jalvayu Towers, Sector 47, Noida",Sector 47,,,,Bakery,,,No,No,,,,0,,Not rated
Cookie House,,Noida,"Sector 47, Noida",Sector 47,,,,Bakery,,,No,No,,,,0,,Not rated
Adhikari Fast Food Corner,,Noida,"Shop 3, Near Samvedana Hospital, Sector 48, Noida",Sector 48,,,,"Chinese, Fast Food",,,No,No,,,,2.8,,Average
Amrit's Agni Multi Cuisine Restaurant,,Noida,"M-7, 1st Floor, Opposite Samvedana Hospital, Sector 48, Noida",Sector 48,,,,"North Indian, Chinese",,,No,No,,,,2.9,,Average
Punjabi Chaska,,Noida,"1, Opposite Samvedna Hospital, Sector 48, Noida",Sector 48,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,3,,Average
The Choco Shop,,Noida,"Sector 48, Noida",Sector 48,,,,Bakery,,,No,No,,,,3,,Average
The Taste,,Noida,"Opposite Samvedna Hospital, Sector 48, Noida",Sector 48,,,,"Bakery, Fast Food",,,No,No,,,,3.1,,Average
Tibb's Frankie,,Noida,"Food Court, Shopping Planet, Near Value Bazaar, Sector 48, Noida",Sector 48,,,,Fast Food,,,No,Yes,,,,3.4,,Average
Amazing Burgers,,Noida,"Shop 29 & 30, Ground Floor, Shopping Planet, Plot 232A/1, Block C, Sector 48, Noida",Sector 48,,,,"Burger, Fast Food",,,No,No,,,,0,,Not rated
Kitchen Express,,Noida,"Sector 48, Noida",Sector 48,,,,North Indian,,,No,No,,,,0,,Not rated
Domino's Pizza,,Noida,"Shop 29 & 30, Ground Floor, Shopping Planet, Plot 232A/1, Block C, Sector 48, Noida",Sector 48,,,,"Pizza, Fast Food",,,No,No,,,,2.3,,Poor
Public Cafe,,Noida,"2, Shopping Planet, Sector 48, Noida",Sector 48,,,,"Fast Food, Beverages",,,No,Yes,,,,2.4,,Poor
Chocopur,,Noida,"Near HDFC ATM, Sector 49, Noida",Sector 49,,,,"Bakery, Desserts",,,No,No,,,,3,,Average
Sweta Restaurant,,Noida,"Barola, Near OBC Bank, Dadri Main Road, Sector 49, Noida",Sector 49,,,,North Indian,,,No,Yes,,,,3.2,,Average
Flames of Tandoor,,Noida,"Main DSC Road, Near OBC Bank, Sector 49, Noida",Sector 49,,,,"North Indian, Mughlai",,,No,Yes,,,,3.5,,Good
Shaivi's Kitchen,,Noida,"Hindon Vihar, Sector 49, NoidaOpp. Dominos and ICICI BANK Sector 48",Sector 49,,,,"North Indian, South Indian, Chinese",,,No,No,,,,0,,Not rated
Kuppies,,Noida,"A-100, 2nd Floor, Sector 5, Noida",Sector 5,,,,"Bakery, Desserts",,,No,No,,,,3.8,,Good
The Urban Chulha,,Noida,"I-10, Harola, Near Sector 5, Noida",Sector 5,,,,North Indian,,,No,Yes,,,,3.5,,Good
Goyal Chhole Kulche Wala,,Noida,"G-48, Udhyog Marg, Sector 6, Near Sector 5",Sector 5,,,,Street Food,,,No,No,,,,0,,Not rated
Cafe Coffee Day,,Noida,"Shop B-1-23, Sector 50, Noida",Sector 50,,,,Cafe,,,No,No,,,,2.7,,Average
Choco House,,Noida,"F-28, Sector 50, Noida",Sector 50,,,,Desserts,,,No,No,,,,3.4,,Average
DCK- Dana Choga's Kitchen,,Noida,"B-1/52, Central Market, Sector 50, Noida",Sector 50,,,,"North Indian, Mughlai",,,No,Yes,,,,2.7,,Average
Fresh and Fit Ghar Ka Khana,,Noida,"F Block, Sector 50, Noida",Sector 50,,,,"North Indian, Healthy Food, Rajasthani",,,No,No,,,,3.1,,Average
Hungry Ullu,,Noida,"Main Market, Sector 50, Noida",Sector 50,,,,Fast Food,,,No,Yes,,,,3.3,,Average
Khidmat,,Noida,"Shop B-1/56, Central Market, Sector 50, Noida",Sector 50,,,,"North Indian, Mughlai, Chinese",,,No,Yes,,,,3.4,,Average
Lahori Restaurant,,Noida,"B-1/28, Central Market, Above Archies, Sector 50, Noida",Sector 50,,,,"North Indian, Chinese",,,Yes,No,,,,2.5,,Average
New Chinese Chilli Sizzler,,Noida,"Near Vodafone Store, Central Market, Sector 50, Noida",Sector 50,,,,Chinese,,,No,No,,,,2.7,,Average
Nirmala's,,Noida,"Shop 1, Near Neo Hospital, Sector 50, Noida",Sector 50,,,,"North Indian, Chinese",,,No,Yes,,,,3.4,,Average
Prime Bakery,,Noida,"Shop 4, Skytech Matrott, Sector 76, Near Sector 50, Noida",Sector 50,,,,"Bakery, Mithai",,,No,No,,,,3,,Average
Royal Empire Meat Shop,,Noida,"B-1/48, Central Market, Sector 50, Noida",Sector 50,,,,"Raw Meats, Fast Food",,,No,No,,,,3.4,,Average
Southern Treat,,Noida,"B-1/32, Central Market, Sector 50, Noida",Sector 50,,,,South Indian,,,No,Yes,,,,2.8,,Average
Subway,,Noida,"B-1/24, Central Market, Near City Centre Metro Station, Sector 50, Noida",Sector 50,,,,"American, Fast Food, Salad, Healthy Food",,,No,No,,,,2.5,,Average
The Chickmunks CafÌ©,,Noida,"B-1/39 Central, Sector 50, Noida",Sector 50,,,,"Fast Food, Cafe, Italian, North Indian, Chinese",,,No,Yes,,,,3.2,,Average
The FLIP Cafe,,Noida,"Sector 50, Noida",Sector 50,,,,"Italian, Continental, North Indian, Chinese",,,No,Yes,,,,2.6,,Average
Yo! China,,Noida,"B-1/29, Sector 50, Noida",Sector 50,,,,Chinese,,,No,Yes,,,,2.5,,Average
Gopala,,Noida,"B-1/7, Central Market, Sector 50, Noida",Sector 50,,,,"Mithai, Street Food",,,No,No,,,,3.6,,Good
R.I.P Cafe & Lounge,,Noida,"B-1/61, Central Market, Sector 50, Noida",Sector 50,,,,Cafe,,,No,Yes,,,,3.5,,Good
Big Biryani,,Noida,"B Block Market, Sector 50, Noida",Sector 50,,,,"Biryani, Mughlai",,,No,No,,,,0,,Not rated
Cupcakes & More,,Noida,"408, Mahagun Maestro, Block F-21-A, Sector 50, Noida",Sector 50,,,,"Bakery, Desserts",,,No,No,,,,0,,Not rated
Heavens Food Xprs,,Noida,"Main Market, Sector 50, Noida",Sector 50,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,0,,Not rated
Parul's Cooking Hub,,Noida,"F-28,483, Windsor Green, Sector 50, Noida",Sector 50,,,,North Indian,,,No,No,,,,0,,Not rated
Republic of Chicken,,Noida,"JM Orchid Market, Sector 76, Near Sector 50, Noida",Sector 50,,,,"Raw Meats, Fast Food",,,No,No,,,,0,,Not rated
Somethings Sweet,,Noida,"C-92, Sector 50, Noida",Sector 50,,,,Bakery,,,No,No,,,,0,,Not rated
Chawla'så_,,Noida,"B-1/54, Central Market, Sector 50, Noida",Sector 50,,,,"North Indian, Mughlai, Chinese",,,Yes,Yes,,,,2.3,,Poor
Domino's Pizza,,Noida,"B-1/55, Central Market, Sector 50, Noida",Sector 50,,,,"Pizza, Fast Food",,,No,No,,,,2.4,,Poor
Nazeer Foods,,Noida,"Central Market, Sector 50, Noida",Sector 50,,,,"Mughlai, North Indian",,,No,Yes,,,,2.3,,Poor
Night Food Xprs,,Noida,"Main Dadri Road, Aggapur, sector 41, Sector 50, Noida",Sector 50,,,,"North Indian, Chinese",,,No,Yes,,,,2.3,,Poor
Pizza Hut Delivery,,Noida,"B-1/32, Central Market, Sector 50, Noida",Sector 50,,,,"Italian, Pizza, Fast Food",,,No,Yes,,,,2.3,,Poor
The Caspian,,Noida,"B-1/14, Central Market, Sector 50, Noida",Sector 50,,,,"North Indian, Chinese",,,Yes,Yes,,,,2.4,,Poor
The Noodle Box Co.,,Noida,"B-1/26, Central Market, Sector 50, Noida",Sector 50,,,,"Chinese, Thai, Asian",,,Yes,No,,,,2.4,,Poor
WTF - World's Tastiest Food,,Noida,"Sector 50, Noida",Sector 50,,,,"North Indian, Chinese",,,No,Yes,,,,2.4,,Poor
Biryani By Kilo,,Noida,"Sector 50, Noida",Sector 50,,,,"Biryani, Mughlai",,,No,Yes,,,,4.1,,Very Good
Kalpak Restaurant & Cafe,,Noida,"Shop 34-35, Central Market, Sector 50, Noida",Sector 50,,,,"North Indian, Chinese",,,Yes,Yes,,,,4.3,,Very Good
Theos,,Noida,"B-1/20, Central Market, Sector 50, Noida",Sector 50,,,,"Desserts, Bakery, Fast Food",,,No,No,,,,4.1,,Very Good
Aamantran Bangla,,Noida,"Sector 51, Noida",Sector 51,,,,"Bengali, North Indian",,,No,No,,,,2.7,,Average
Chung-Fu,,Noida,"H 38, Sector 51, Noida",Sector 51,,,,Chinese,,,No,No,,,,3,,Average
Paco Meals,,Noida,"Sector 51, Noida",Sector 51,,,,"North Indian, Chinese, Fast Food",,,No,No,,,,2.8,,Average
Reena Restaurant,,Noida,"B-1/23, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese, South Indian",,,No,No,,,,2.7,,Average
Sanskriti Foods,,Noida,"Near Vrinda Garden, Hoshiarpur Village, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese",,,No,Yes,,,,3.1,,Average
Biryani Vice,,Noida,"H-38, Sector 51, Noida",Sector 51,,,,"North Indian, Biryani",,,No,Yes,,,,3.6,,Good
Dietwholic,,Noida,"H 38, Sector 51, Noida",Sector 51,,,,"Healthy Food, North Indian, Chinese, Continental",,,No,Yes,,,,3.7,,Good
Goldenplates,,Noida,"Gali 4, Main Road Hoshiarpur, Near Red Light, Sector 51, Noida",Sector 51,,,,"North Indian, Mughlai, Chinese, Fast Food",,,No,No,,,,3.6,,Good
Mishti's Kitchen,,Noida,"H-38, Sector 51, Noida",Sector 51,,,,"Chinese, Mughlai",,,No,Yes,,,,3.6,,Good
Shahenshah,,Noida,"Near City Center Metro Station, Noida, Sector 51, Noida",Sector 51,,,,"North Indian, Mughlai, Chinese",,,No,Yes,,,,3.5,,Good
Ayush Chicken Point,,Noida,"Main Road, Opposite Antriksh Apartment, Sector 51, Noida",Sector 51,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,0,,Not rated
Baby Got Bacon,,Noida,"Sector 51, Noida",Sector 51,,,,"American, Italian",,,No,No,,,,0,,Not rated
Better Butter Chicken,,Noida,"E-36, Sector 51, Noida",Sector 51,,,,North Indian,,,No,No,,,,0,,Not rated
Black Pepper,,Noida,"Shop 12, F Block, VDS Market, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese, Mughlai",,,No,No,,,,0,,Not rated
Chandni Chowk 2 China,,Noida,"H-38, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Choco N Lush,,Noida,"Sector 51, Noida",Sector 51,,,,"Bakery, Desserts",,,No,No,,,,0,,Not rated
Friend's Restaurant,,Noida,"Near Shivalik Hospital, Hoshiyar Pur, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Ghar Ka Khana,,Noida,"House 1, Near VDS Market, Hoshiyarpur, Sector 51, Noida",Sector 51,,,,North Indian,,,No,No,,,,0,,Not rated
Ghar Ka Swad,,Noida,"Shop 23, Basement VDS Market, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Kake Da Dhaba,,Noida,"1, Near VDS Market, Hoshiyarpur, Sector 51, Noida",Sector 51,,,,"Awadhi, North Indian",,,No,No,,,,0,,Not rated
Knight Kitchens,,Noida,Sector 51 Noida,Sector 51,,,,"North Indian, Fast Food, Chinese",,,No,No,,,,0,,Not rated
Lucknow Heritage,,Noida,"Shop 2, V.D.S Market, F Block, Sector 51, Noida",Sector 51,,,,Lucknowi,,,No,No,,,,0,,Not rated
Momos Box,,Noida,"Sector 51, Noida",Sector 51,,,,"Tibetan, Street Food",,,No,No,,,,0,,Not rated
Raging Bull - The Spicy Punch,,Noida,"Sector 51, Noida",Sector 51,,,,"Mexican, Italian",,,No,No,,,,0,,Not rated
Second Home,,Noida,"1st Floor, C-3, Sector 51, Noida",Sector 51,,,,"Chinese, North Indian",,,Yes,No,,,,0,,Not rated
The Big Buddha Grill,,Noida,"4th Floor, Hoshiarpur Market, Sector 51, Noida",Sector 51,,,,"Cafe, Mexican",,,No,Yes,,,,0,,Not rated
Whatslife.in,,Noida,"Shop 23, VDS Market, Sector 51, Noida",Sector 51,,,,"North Indian, Chinese",,,No,Yes,,,,0,,Not rated
Slice of Italy,,Noida,"7/8/9, VDS Market, Sector 51, Noida",Sector 51,,,,"Italian, Pizza, Bakery",,,No,Yes,,,,2.3,,Poor
